competency_id,competency_code,competency_name,competency_type,avg_growth_Berlin,avg_growth_Brandenburg,avg_growth_Dahme-Spreewald,avg_growth_Deutschland,avg_growth_Oder-Spree,avg_growth_Teltow-Fläming,demand_score_Berlin,demand_score_Brandenburg,demand_score_Dahme-Spreewald,demand_score_Deutschland,demand_score_Oder-Spree,demand_score_Teltow-Fläming,total_jobs_Berlin,total_jobs_Brandenburg,total_jobs_Dahme-Spreewald,total_jobs_Deutschland,total_jobs_Oder-Spree,total_jobs_Teltow-Fläming,demand_score_TH_Wildau
62310,K 030206-004,"Berichtswesen, Information",E,-0.08857328643890794,0.16551761640681664,0.18329308987275472,-0.014711782436646038,0.19800402851554635,0.48636236152081924,17.8,16.3,16.5,15.1,18.5,14.5,190878.0,68311.0,4806.0,2646425.0,3922.0,6138.0,16.5
59931,K 0904,Personengruppen,S,-0.09038549938759177,0.1351610808062393,0.13285590216684556,0.09451145553275787,0.4443143082707766,0.7167088906008191,13.2,15.7,14.7,12.1,19.9,12.1,141550.0,65690.0,4267.0,2134359.0,4230.0,5126.0,15.6
64582,K 090201-011,Patientenbetreuung,E,0.0642064006001485,0.22313485398723137,-0.16680075496309643,0.06507639269501438,-0.12959504242860945,3.594600779146991,9.7,17.6,12.5,12.2,16.9,17.3,103981.0,73535.0,3624.0,2138048.0,3591.0,7327.0,15.6
64213,K 0809-005,Forschung,E,-0.08639049976469598,0.21395634187579335,0.1756584071341398,0.000523275417977161,-0.005641728447306916,2.7422105808725847,9.6,17.2,14.0,11.6,14.8,17.1,103033.0,71854.0,4075.0,2031726.0,3129.0,7216.0,15.3
64383,K 090100-000,Lehrtätigkeit (Hochschule),E,-0.1108562562688402,0.302921766379152,0.11432243821533987,0.014968681305289493,0.008730288758422723,2.798173228005038,10.7,16.9,13.3,11.8,14.2,16.9,115156.0,70800.0,3861.0,2071933.0,3021.0,7145.0,14.8
60699,K 010202-014,Fertigungstechnik,E,-0.03725969166411471,0.3919326753182531,0.3223049781179337,0.01193089216241889,0.32013873439584456,0.5932287318277382,8.0,12.7,11.6,11.9,15.5,15.8,85758.0,53288.0,3371.0,2090465.0,3279.0,6683.0,14.3
64757,K 090206-060,Rehabilitation,E,0.002190899112925927,0.12797080110870762,-0.04465351231573534,0.05952964967097674,-0.01668481794899329,4.433216846995755,8.3,15.6,11.0,10.3,15.9,15.4,89159.0,65421.0,3196.0,1814208.0,3380.0,6508.0,14.1
59977,K 011107,"Schweiß-, Lötverfahren",S,0.030024080177623317,0.25506364222424444,0.16382956089040587,0.027607880979767824,0.1996810984973331,0.9249290407365568,4.5,11.9,12.2,9.0,13.6,16.3,47988.0,49976.0,3561.0,1574276.0,2878.0,6886.0,14.0
62331,K 030206-025,Präsentation,E,-0.1505160716410427,0.3203166755614925,0.09323621575125998,0.019349390003825982,0.11727134609788857,0.7701510645339581,17.8,14.3,14.5,15.3,14.0,13.6,191323.0,59719.0,4219.0,2695766.0,2979.0,5764.0,14.0
64424,K 090100-041,Vortragstätigkeit,E,-0.11079299736446468,0.16096647462771752,-0.0927139110362251,0.01696157657983825,-0.20971868148818634,3.94787728574595,8.8,15.6,12.9,10.4,12.8,16.0,94760.0,65314.0,3761.0,1826288.0,2722.0,6737.0,13.9
