kldb_id,beruf_name,kldb_prefix2
23224,Interfacedesigner/in,23
81444,Facharzt/-ärztin - Phoniatrie und Pädaudiologie,81
32162,Industriekletterer/-kletterin,32
32201,Helfer/in - Tiefbau,32
41204,Biowissenschaftler/in,41
27224,Konstruktionsingenieur/in,27
72244,Revisor/in,72
94232,Mannequin/Dressman,94
31214,Vermessungsingenieur/in,31
34343,Techniker/in - Maschinentechnik (Anlagentechnik),34
92412,Redaktionsvolontär/in,92
82213,Pflegeberater/in,82
73204,Verwaltungswissenschaftler/in,73
31103,Beamt(er/in) - Gehobener bautechnischer Dienst,31
92304,Game Producer,92
51522,Eisenbahner/in - Zugverkehrssteuerung,51
32224,Straßenbauingenieur/in,32
51222,Sicherungsposten,51
84583,Schwimmlehrer/in,84
26313,Beamt(er/in) - Fernmelde- u. Elektron. Aufklärung (geh.t.D.),26
82183,Fachaltenpfleger/in - Palliativ- und Hospizpflege,82
1402,Freiwil. Wehrdienstleistende/r - Laufbahngruppe Mannschaften,14
12144,Landschaftsarchitekt/in,12
83122,Peer Counselor/in,83
51394,Leiter/in - Lagerwirtschaft,51
71413,Fremdsprachenkaufmann/-frau,71
34304,Ingenieur/in - Versorgungstechnik,34
23322,Fotograf/in - Produktfotografie,23
12132,Gärtner/in - Friedhofsgärtnerei,12
34222,Ofen- und Luftheizungsbauer/in,34
81894,Director Regulatory Affairs (Pharma/Life Science),81
72133,Fachwirt/in - Versicherungen und Finanzen,72
61204,Betriebswirt/in (Hochschule) - Handel,61
84214,Ingenieurpädagoge/-pädagogin,84
42313,"Techniker/in - Umweltschutzt. (Erneuerb.Energ., Energieber.)",42
91344,UX-Researcher/in,91
27302,Produktionstechnologe/-technologin,27
24101,"Helfer/in - Metallerzeugung, Gießerei",24
43363,Webadministrator/in,43
34112,Schulassistent/in (nicht Verwaltung),34
82212,Gesundheitstrainer/in,82
28222,Maßschneider/in - Herren,28
24132,Gießereimechaniker/in - Schmelzbetrieb,24
43103,Entwickler/in - Datenvisualisierung,43
82503,Techniker/in - Medizintechnik,82
81783,Motopädagoge/-pädagogin,81
84454,Lehrer/in - Deutsch als Fremdsprache,84
43233,Fachberater/in - Vertrieb (Ausbildung),43
34303,Techniker/in - Versorgungstechnik,34
72243,Assistent/in - Wirtschaftsprüfung,72
92382,Assistent/in - Filmgeschäftsführung,92
62422,Fachmann/-frau - Rehatechnik/Sanitätshauswaren,62
54122,Glasreiniger/in,54
73333,Fachwirt/in - Informationsdienste,73
54182,Teppichbodenreiniger/in,54
29322,Rotisseur/in,29
34202,Isolierklempner/in,34
81142,Tiermedizinische/r Fachangestellte/r,81
42314,Klimaschutzmanager/in,42
73232,Beamt(er/in) - Steuerverwaltung (mittl. Dienst),73
24301,Helfer/in - Metalloberflächenbearbeitung,24
63402,Mitarbeiter/in im Künstlerischen Betriebsbüro,63
33101,Helfer/in - Bodenverlegung,33
32204,Tiefbauingenieur/in,32
63393,Barmeister/in,63
11102,Fachkraft - Agrarservice,11
